Ticker,count_7_11_2022,nlp_7_11_2022,count_7_12_2022,nlp_7_12_2022,count_7_15_2022,nlp_7_15_2022,count_7_17_2022,nlp_7_17_2022,count_7_18_2022,nlp_7_18_2022,count_7_19_2022,nlp_7_19_2022,count_7_20_2022,nlp_7_20_2022,count_7_22_2022,nlp_7_22_2022,count_7_23_2022,nlp_7_23_2022,count_7_27_2022,nlp_7_27_2022,count_7_28_2022,nlp_7_28_2022,count_7_29_2022,nlp_7_29_2022,count_8_1_2022,nlp_8_1_2022,count_8_2_2022,nlp_8_2_2022,count_8_3_2022,nlp_8_3_2022,count_8_4_2022,nlp_8_4_2022,count_8_5_2022,nlp_8_5_2022,count_8_8_2022,nlp_8_8_2022,count_8_9_2022,nlp_8_9_2022,count_8_15_2022,nlp_8_15_2022,count_8_16_2022,nlp_8_16_2022,count_8_17_2022,nlp_8_17_2022,count_8_18_2022,nlp_8_18_2022,count_8_22_2022,nlp_8_22_2022,count_8_23_2022,nlp_8_23_2022
AAPL,17.0,0.3949823529411764,14.0,0.4180214285714285,18.0,0.3365888888888889,16.0,0.12900625,20.0,0.201715,17.0,0.2105588235294117,16.0,0.19915625,17.0,0.1530235294117647,14.0,0.25805,20.0,0.490835,25.0,0.37476,26.0,0.3427538461538461,22.0,0.5233272727272728,19.0,0.5964578947368422,17.0,0.6060235294117646,15.0,0.5883133333333334,15.0,0.5832933333333333,12.0,0.7437583333333332,12.0,0.605875,10.0,0.4702499999999999,9.0,0.5614888888888889,12.0,0.3367666666666666,12.0,0.3891,14.0,0.3992357142857142,17.0,0.4942823529411764
MSFT,14.0,0.5840785714285713,16.0,0.4466687499999999,16.0,0.3517687499999999,13.0,0.4336230769230769,14.0,0.4626642857142857,9.0,0.5325444444444444,8.0,0.4642499999999999,11.0,0.3913,14.0,0.2158857142857143,27.0,0.3610074074074074,27.0,0.3897185185185186,26.0,0.3683307692307692,23.0,0.3390043478260869,23.0,0.3661217391304348,21.0,0.4012714285714285,16.0,0.482025,14.0,0.4213571428571429,11.0,0.4791727272727273,10.0,0.36163,6.0,0.3525833333333333,4.0,0.09015,3.0,0.0295999999999999,2.0,0.4078,2.0,0.8902,5.0,0.73876
GOOG,8.0,0.5792375000000001,10.0,0.55016,7.0,0.4742714285714285,7.0,0.5211857142857144,8.0,0.2531875,7.0,0.2893571428571428,5.0,0.31004,2.0,0.43385,7.0,0.5001,14.0,0.3775428571428572,14.0,0.3775428571428572,14.0,0.3775428571428572,13.0,0.3720923076923077,13.0,0.3720923076923077,13.0,0.4215384615384616,10.0,0.40075,7.0,0.4018000000000001,3.0,0.5016,4.0,0.204425,2.0,0.26915,1.0,-0.1045,,,,,2.0,0.8889499999999999,3.0,0.9245666666666666
AMZN,22.0,0.5614863636363637,16.0,0.6854437500000001,10.0,0.66484,9.0,0.5075555555555555,8.0,0.6000125,8.0,0.38225,7.0,0.3689571428571429,11.0,0.3587818181818182,12.0,0.4075666666666668,17.0,0.598964705882353,25.0,0.4214879999999999,28.0,0.4069392857142856,31.0,0.4063451612903225,23.0,0.4706869565217391,17.0,0.585635294117647,13.0,0.5772461538461539,14.0,0.4840785714285713,10.0,0.7647299999999999,10.0,0.59927,10.0,0.68939,13.0,0.4267307692307692,11.0,0.3642545454545454,10.0,0.3007799999999999,10.0,0.55974,8.0,0.581775
TSLA,51.0,0.2148882352941176,47.0,0.2134531914893616,27.0,0.2364666666666666,26.0,0.2536461538461538,23.0,0.3506347826086957,22.0,0.3286863636363636,31.0,0.2181064516129032,39.0,0.1954589743589743,38.0,0.2033052631578947,34.0,0.3660176470588235,29.0,0.4646103448275862,27.0,0.3553074074074074,26.0,0.3279653846153846,28.0,0.3189857142857143,24.0,0.3219874999999999,26.0,0.2438115384615384,24.0,0.2978458333333333,20.0,0.4422249999999999,21.0,0.4155523809523808,19.0,0.461636842105263,17.0,0.4762588235294117,16.0,0.4116,17.0,0.4272529411764705,17.0,0.3471764705882352,17.0,0.2856941176470588
NVDA,9.0,-0.0118666666666666,11.0,-0.000390909090909,14.0,0.1658,13.0,0.1868692307692308,13.0,0.2305230769230769,16.0,0.22635625,19.0,0.2759315789473684,17.0,0.2600294117647059,15.0,0.3571666666666666,10.0,0.6631500000000001,11.0,0.6267,10.0,0.60449,7.0,0.3539571428571428,8.0,0.05015,6.0,-0.0988333333333333,7.0,0.1303142857142857,3.0,0.3242,12.0,0.1265999999999999,19.0,0.1163684210526316,14.0,0.3019428571428571,9.0,0.2153111111111111,9.0,0.2153111111111111,9.0,0.2153111111111111,3.0,0.1855666666666666,5.0,0.38738
V,4.0,0.2413499999999999,5.0,0.36662,7.0,0.2698142857142857,7.0,0.1313714285714285,4.0,0.219975,7.0,0.0451857142857142,8.0,0.3456249999999999,6.0,0.54625,7.0,0.6031000000000001,9.0,0.1776555555555555,11.0,0.0899363636363636,9.0,0.2246666666666666,8.0,0.1337374999999999,7.0,0.1641571428571428,7.0,0.1641571428571428,6.0,0.28295,4.0,0.56085,3.0,0.6208333333333333,2.0,0.4335,1.0,0.9579,1.0,0.6697,1.0,0.6697,1.0,0.6697,1.0,0.6697,1.0,0.6697
JPM,10.0,0.53122,9.0,0.5208111111111111,12.0,0.1697666666666666,10.0,0.13489,10.0,-0.0356299999999999,7.0,0.1403571428571428,4.0,0.281875,3.0,0.0835999999999999,3.0,0.0835999999999999,5.0,0.44348,4.0,0.1246749999999999,3.0,0.4618,3.0,0.9303666666666668,3.0,0.9303666666666668,5.0,0.28734,5.0,0.28734,6.0,0.3669499999999999,5.0,0.8628,5.0,0.62008,3.0,0.7275333333333333,4.0,0.54565,3.0,0.7998,3.0,0.7953666666666667,2.0,0.97505,2.0,0.97505
UNH,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,,,,,,1.0,0.9995,1.0,0.9995,1.0,0.9995,1.0,0.9995,1.0,0.9995,1.0,0.9995,2.0,0.9849,2.0,0.9849000000000001
JNJ,3.0,0.2631999999999999,1.0,0.9782,1.0,0.7003,1.0,0.7003,1.0,0.7003,2.0,0.84565,2.0,0.84565,4.0,0.832525,4.0,0.832525,4.0,0.8376,3.0,0.8833666666666667,3.0,0.8833666666666667,2.0,0.82955,2.0,0.82955,1.0,0.9929,1.0,0.9929,,,1.0,0.7579,1.0,0.7579,2.0,-0.1204,1.0,0.7579,1.0,0.7579,1.0,0.7579,1.0,0.4939,1.0,0.4939
